mass_A
t,y
1.333333333E-1,1.505308320E-2
2.000000000E-1,3.001432685E-2
2.666666667E-1,3.010985941E-2
3.333333333E-1,1.550280061E-2
4.000000000E-1,-1.381485037E-2
4.666666667E-1,-5.007017272E-2
5.333333333E-1,-9.092643709E-2
6.000000000E-1,-1.279097660E-1
6.666666667E-1,-1.576591998E-1
7.333333333E-1,-1.750438910E-1
8.000000000E-1,-1.772213813E-1
8.666666667E-1,-1.641973681E-1
9.333333333E-1,-1.374614416E-1
1.000000000E0,-1.024579603E-1
1.066666667E0,-6.095502022E-2
1.133333333E0,-2.329797807E-2
1.200000000E0,8.114024278E-3
1.266666667E0,2.688073137E-2
1.333333333E0,3.120232355E-2
1.400000000E0,1.963683384E-2
1.466666667E0,-5.813021823E-3
1.533333333E0,-4.048967475E-2
1.600000000E0,-8.080648984E-2
1.666666667E0,-1.191750636E-1
1.733333333E0,-1.512536665E-1
1.800000000E0,-1.723899939E-1
1.866666667E0,-1.780316262E-1
1.933333333E0,-1.698196502E-1
2.000000000E0,-1.470156920E-1
2.066666667E0,-1.127108595E-1
2.133333333E0,-7.337858567E-2
2.200000000E0,-3.469387972E-2
2.266666667E0,-2.191403733E-3
2.333333333E0,2.186914593E-2
2.400000000E0,2.997443275E-2
2.466666667E0,2.353957475E-2
2.533333333E0,1.701434015E-3
2.600000000E0,-3.102055749E-2
2.666666667E0,-6.990640047E-2
2.733333333E0,-1.100905004E-1
2.800000000E0,-1.449308913E-1
2.866666667E0,-1.686984791E-1
2.933333333E0,-1.789260859E-1
3.000000000E0,-1.745067687E-1
3.066666667E0,-1.556657649E-1
3.133333333E0,-1.233833960E-1
3.200000000E0,-8.460445188E-2
3.266666667E0,-4.590412482E-2
3.333333333E0,-1.015483924E-2
3.400000000E0,1.620306606E-2
3.466666667E0,2.868333005E-2
3.533333333E0,2.563710209E-2
3.600000000E0,8.393900823E-3
3.666666667E0,-2.143746754E-2
3.733333333E0,-5.953895232E-2
3.800000000E0,-9.933591327E-2
3.866666667E0,-1.361265093E-1
3.933333333E0,-1.622350128E-1
4.000000000E0,-1.774794945E-1
4.066666667E0,-1.775636502E-1
4.133333333E0,-1.605866805E-1
4.200000000E0,-1.320036118E-1
4.266666667E0,-9.540678127E-2
4.333333333E0,-5.567862659E-2
4.400000000E0,-1.765536879E-2
4.466666667E0,1.050883977E-2
4.533333333E0,2.672562376E-2
4.600000000E0,2.845848267E-2
4.666666667E0,1.446173907E-2
4.733333333E0,-1.145935539E-2
4.800000000E0,-4.916024601E-2
