t,x,y
0.000000000E0,1.245500000E3,-1.150000000E2
4.166666667E-3,1.252698090E3,-1.142710808E2
8.333333333E-3,1.258436662E3,-1.137740224E2
1.250000000E-2,1.265420173E3,-1.130798814E2
1.666666667E-2,1.271341521E3,-1.121045833E2
2.083333333E-2,1.277533736E3,-1.117713124E2
2.500000000E-2,1.283288698E3,-1.111223629E2
2.916666667E-2,1.289436001E3,-1.105936173E2
3.333333333E-2,1.295227879E3,-1.099465455E2
3.750000000E-2,1.301489500E3,-1.094064073E2
4.166666667E-2,1.306525917E3,-1.087856346E2
4.583333333E-2,1.312513071E3,-1.080175448E2
5.000000000E-2,1.317679991E3,-1.074967225E2
5.416666667E-2,1.323304741E3,-1.066148022E2
5.833333333E-2,1.328487494E3,-1.060665561E2
6.250000000E-2,1.334096154E3,-1.056240403E2
6.666666667E-2,1.339228004E3,-1.050850816E2
7.083333333E-2,1.344611116E3,-1.047954071E2
7.500000000E-2,1.349589624E3,-1.040594401E2
7.916666667E-2,1.354788758E3,-1.038733817E2
8.333333333E-2,1.359486259E3,-1.031052419E2
8.750000000E-2,1.364620357E3,-1.025777594E2
9.166666667E-2,1.369203943E3,-1.020990900E2
9.583333333E-2,1.374377517E3,-1.014696323E2
1.000000000E-1,1.378565883E3,-1.009760143E2
1.041666667E-1,1.383303287E3,-1.005856294E2
1.083333333E-1,1.387694091E3,-1.000197861E2
1.125000000E-1,1.392464417E3,-9.925001854E1
1.166666667E-1,1.396491507E3,-9.889385861E1
1.208333333E-1,1.401406214E3,-9.817526512E1
1.250000000E-1,1.405592820E3,-9.747245555E1
1.291666667E-1,1.409634393E3,-9.700787253E1
1.333333333E-1,1.413375203E3,-9.644458339E1
1.375000000E-1,1.417573348E3,-9.594044852E1
1.416666667E-1,1.421291073E3,-9.551252053E1
1.458333333E-1,1.425212876E3,-9.517829967E1
1.500000000E-1,1.428938145E3,-9.490705905E1
1.541666667E-1,1.432697691E3,-9.425872621E1
1.583333333E-1,1.435796985E3,-9.371469933E1
1.625000000E-1,1.439380910E3,-9.307035546E1
1.666666667E-1,1.442422940E3,-9.288245363E1
1.708333333E-1,1.445491146E3,-9.259347039E1
1.750000000E-1,1.448565185E3,-9.209125062E1
1.791666667E-1,1.451511406E3,-9.168689104E1
1.833333333E-1,1.454525820E3,-9.118654393E1
1.875000000E-1,1.457192594E3,-9.060523122E1
1.916666667E-1,1.459844750E3,-9.025752815E1
1.958333333E-1,1.462461098E3,-8.975491808E1
2.000000000E-1,1.465000790E3,-8.921744569E1
2.041666667E-1,1.467598108E3,-8.895727820E1
2.083333333E-1,1.469665939E3,-8.877715972E1
2.125000000E-1,1.472121961E3,-8.837228664E1
2.166666667E-1,1.474312808E3,-8.807939955E1
2.208333333E-1,1.476408012E3,-8.786533660E1
2.250000000E-1,1.478502652E3,-8.767689846E1
2.291666667E-1,1.480552881E3,-8.744064274E1
2.333333333E-1,1.482470687E3,-8.716376341E1
2.375000000E-1,1.484325171E3,-8.700576959E1
2.416666667E-1,1.485897333E3,-8.692357707E1
2.458333333E-1,1.487477448E3,-8.697461571E1
2.500000000E-1,1.488925128E3,-8.696235672E1
2.541666667E-1,1.489909813E3,-8.703130359E1
2.583333333E-1,1.491022567E3,-8.698529746E1
2.625000000E-1,1.492374924E3,-8.718704034E1
2.666666667E-1,1.493194716E3,-8.699194196E1
2.708333333E-1,1.494112016E3,-8.694321051E1
2.750000000E-1,1.494858349E3,-8.689547386E1
2.791666667E-1,1.495389407E3,-8.693665657E1
2.833333333E-1,1.495935023E3,-8.690746425E1
2.875000000E-1,1.496202062E3,-8.688163591E1
2.916666667E-1,1.496593334E3,-8.673966160E1
2.958333333E-1,1.496703012E3,-8.675918752E1
3.000000000E-1,1.496690982E3,-8.682181094E1
3.041666667E-1,1.496634667E3,-8.687464202E1
3.083333333E-1,1.496606081E3,-8.679470942E1
3.125000000E-1,1.496459192E3,-8.690526918E1
3.166666667E-1,1.496386426E3,-8.699476507E1
3.208333333E-1,1.495998782E3,-8.708061538E1
3.250000000E-1,1.495515347E3,-8.712601748E1
3.291666667E-1,1.494821331E3,-8.772683441E1
3.333333333E-1,1.494419129E3,-8.787212087E1
3.375000000E-1,1.493615945E3,-8.837049130E1
3.416666667E-1,1.492870784E3,-8.842124429E1
3.458333333E-1,1.491806757E3,-8.878518431E1
3.500000000E-1,1.490776996E3,-8.910997047E1
3.541666667E-1,1.489560946E3,-8.942647019E1
3.583333333E-1,1.488399790E3,-8.997546064E1
3.625000000E-1,1.486965382E3,-9.041854042E1
3.666666667E-1,1.485557488E3,-9.074811749E1
3.708333333E-1,1.483835464E3,-9.117865415E1
3.750000000E-1,1.482463837E3,-9.129485826E1
3.791666667E-1,1.480470899E3,-9.174582634E1
3.833333333E-1,1.478740161E3,-9.196270322E1
3.875000000E-1,1.476622866E3,-9.224306751E1
3.916666667E-1,1.474791656E3,-9.237688243E1
3.958333333E-1,1.472407635E3,-9.260659878E1
4.000000000E-1,1.470298794E3,-9.285392949E1
4.041666667E-1,1.467919274E3,-9.314840409E1
4.083333333E-1,1.465274103E3,-9.353615700E1
4.125000000E-1,1.462448289E3,-9.405376904E1
4.166666667E-1,1.460024512E3,-9.435517199E1
4.208333333E-1,1.457226711E3,-9.487875269E1
4.250000000E-1,1.454467924E3,-9.533561589E1
4.291666667E-1,1.451397173E3,-9.567216575E1
4.333333333E-1,1.448542644E3,-9.612705110E1
4.375000000E-1,1.445277340E3,-9.680996366E1
4.416666667E-1,1.441848327E3,-9.748248881E1
4.458333333E-1,1.438438535E3,-9.792755183E1
4.500000000E-1,1.435195997E3,-9.831990016E1
4.541666667E-1,1.431503221E3,-9.899980570E1
4.583333333E-1,1.428156363E3,-9.934712015E1
4.625000000E-1,1.424549616E3,-1.002457659E2
4.666666667E-1,1.420883238E3,-1.007755479E2
4.708333333E-1,1.416759761E3,-1.015956944E2
4.750000000E-1,1.412815428E3,-1.023703657E2
4.791666667E-1,1.408506543E3,-1.030293526E2
4.833333333E-1,1.404605573E3,-1.037867928E2
4.875000000E-1,1.400299119E3,-1.043623741E2
4.916666667E-1,1.396315530E3,-1.049819938E2
4.958333333E-1,1.391647570E3,-1.056232562E2
5.000000000E-1,1.387399058E3,-1.062175626E2
5.041666667E-1,1.382537448E3,-1.070524624E2
5.083333333E-1,1.378210462E3,-1.074754386E2
5.125000000E-1,1.373278561E3,-1.081011184E2
5.166666667E-1,1.368401058E3,-1.086910037E2
5.208333333E-1,1.363255742E3,-1.095891092E2
5.250000000E-1,1.358585428E3,-1.105198673E2
5.291666667E-1,1.353318665E3,-1.112850963E2
5.333333333E-1,1.348370285E3,-1.119591462E2
5.375000000E-1,1.342885724E3,-1.129175366E2
5.416666667E-1,1.337552736E3,-1.137311649E2
5.458333333E-1,1.332099667E3,-1.144175009E2
5.500000000E-1,1.326750420E3,-1.151316689E2
5.541666667E-1,1.320880783E3,-1.158076027E2
5.583333333E-1,1.315528560E3,-1.165790387E2
5.625000000E-1,1.310171587E3,-1.173661354E2
5.666666667E-1,1.304505146E3,-1.181499125E2
5.708333333E-1,1.298549011E3,-1.190964491E2
5.750000000E-1,1.292652012E3,-1.200488666E2
5.791666667E-1,1.286520989E3,-1.209193394E2
5.833333333E-1,1.280738082E3,-1.217068514E2
5.875000000E-1,1.274305801E3,-1.222866406E2
5.916666667E-1,1.268260749E3,-1.229228253E2
5.958333333E-1,1.261794166E3,-1.238342108E2
6.000000000E-1,1.255984146E3,-1.242777760E2
