t,x,y
1.071250000E1,4.993866944E2,-1.602286902E2
1.071666667E1,5.070123732E2,-1.608235002E2
1.072083333E1,5.149920588E2,-1.608310736E2
1.072500000E1,5.226926351E2,-1.614056069E2
1.072916667E1,5.305971789E2,-1.612606607E2
1.073333333E1,5.384055453E2,-1.617210121E2
1.073750000E1,5.468963198E2,-1.612601355E2
1.074166667E1,5.547759944E2,-1.618981695E2
1.074583333E1,5.629263555E2,-1.616634939E2
1.075000000E1,5.712156345E2,-1.623360242E2
1.075416667E1,5.794538414E2,-1.619104686E2
1.075833333E1,5.874990041E2,-1.625887809E2
1.076250000E1,5.955830334E2,-1.622403126E2
1.076666667E1,6.037138709E2,-1.630815873E2
1.077083333E1,6.116931740E2,-1.629024865E2
1.077500000E1,6.198060148E2,-1.635794642E2
1.077916667E1,6.275605773E2,-1.632442961E2
1.078333333E1,6.355014771E2,-1.638384502E2
1.078750000E1,6.436847169E2,-1.637945972E2
1.079166667E1,6.520395871E2,-1.644296095E2
1.079583333E1,6.606303435E2,-1.637806698E2
1.080000000E1,6.686883882E2,-1.642344196E2
1.080416667E1,6.766126322E2,-1.640974100E2
1.080833333E1,6.848048387E2,-1.644938662E2
1.081250000E1,6.932746751E2,-1.640536273E2
1.081666667E1,7.012524117E2,-1.642222682E2
1.082083333E1,7.094990367E2,-1.636870141E2
1.082500000E1,7.176321159E2,-1.638700350E2
1.082916667E1,7.261244243E2,-1.629586516E2
1.083333333E1,7.345142790E2,-1.630276117E2
1.083750000E1,7.425715428E2,-1.625181845E2
1.084166667E1,7.509134188E2,-1.624961626E2
1.084583333E1,7.592956800E2,-1.612692136E2
1.085000000E1,7.676088680E2,-1.612546876E2
1.085416667E1,7.758368121E2,-1.608666256E2
1.085833333E1,7.838780035E2,-1.608449182E2
1.086250000E1,7.917468741E2,-1.603935401E2
1.086666667E1,7.999575597E2,-1.604474634E2
1.087083333E1,8.084475379E2,-1.598992597E2
1.087500000E1,8.164475349E2,-1.595056044E2
1.087916667E1,8.246661801E2,-1.588214179E2
1.088333333E1,8.328802830E2,-1.590450165E2
1.088750000E1,8.410355328E2,-1.585376589E2
1.089166667E1,8.491481694E2,-1.586739744E2
1.089583333E1,8.574560902E2,-1.581866817E2
1.090000000E1,8.653083292E2,-1.582181115E2
1.090416667E1,8.733582993E2,-1.575673868E2
1.090833333E1,8.815044571E2,-1.574373107E2
1.091250000E1,8.893527436E2,-1.564192168E2
1.091666667E1,8.974193951E2,-1.564848420E2
1.092083333E1,9.056139000E2,-1.560367071E2
1.092500000E1,9.133512852E2,-1.558362845E2
1.092916667E1,9.214321026E2,-1.551776149E2
1.093333333E1,9.293234772E2,-1.548955741E2
1.093750000E1,9.375244742E2,-1.540995887E2
1.094166667E1,9.453094720E2,-1.539141185E2
1.094583333E1,9.533113021E2,-1.533433923E2
1.095000000E1,9.611549732E2,-1.525796467E2
1.095416667E1,9.689888328E2,-1.515874888E2
1.095833333E1,9.765975635E2,-1.511298700E2
1.096250000E1,9.844918390E2,-1.503517900E2
1.096666667E1,9.918146599E2,-1.497547907E2
1.097083333E1,9.997495593E2,-1.489320795E2
1.097500000E1,1.007390166E3,-1.484434523E2
1.097916667E1,1.015010553E3,-1.476345595E2
1.098333333E1,1.022647356E3,-1.472460494E2
1.098750000E1,1.030230168E3,-1.464599416E2
1.099166667E1,1.037537677E3,-1.460144269E2
1.099583333E1,1.044932843E3,-1.454031706E2
1.100000000E1,1.052090109E3,-1.451712254E2
1.100416667E1,1.059490705E3,-1.445428588E2
1.100833333E1,1.066571695E3,-1.441086821E2
1.101250000E1,1.073746920E3,-1.432800816E2
1.101666667E1,1.080752160E3,-1.429936501E2
1.102083333E1,1.087742186E3,-1.423284137E2
1.102500000E1,1.094550669E3,-1.420898158E2
1.102916667E1,1.101295458E3,-1.413886852E2
1.103333333E1,1.108357724E3,-1.410018238E2
1.103750000E1,1.115344109E3,-1.401964847E2
1.104166667E1,1.121875868E3,-1.400423619E2
1.104583333E1,1.128793986E3,-1.390410708E2
1.105000000E1,1.135179157E3,-1.386537688E2
1.105416667E1,1.142070289E3,-1.378536706E2
1.105833333E1,1.148545733E3,-1.376669788E2
1.106250000E1,1.155389828E3,-1.363645159E2
1.106666667E1,1.161817181E3,-1.360032802E2
1.107083333E1,1.168343374E3,-1.351076806E2
1.107500000E1,1.174584285E3,-1.347318273E2
1.107916667E1,1.181014914E3,-1.340652153E2
1.108333333E1,1.187254764E3,-1.335250938E2
1.108750000E1,1.193338883E3,-1.325788953E2
1.109166667E1,1.199245565E3,-1.322624775E2
1.109583333E1,1.205411644E3,-1.313659043E2
1.110000000E1,1.211316366E3,-1.308824320E2
1.110416667E1,1.217131816E3,-1.302692903E2
1.110833333E1,1.223135625E3,-1.299460983E2
1.111250000E1,1.229336099E3,-1.291722343E2
1.111666667E1,1.235260455E3,-1.288639587E2
