Column1;Column2;Column3
;;
t;x;y
1.833333333E-1;7.387680210E2;-3.753342071E2
1.916666667E-1;7.349897415E2;-3.751445013E2
2.000000000E-1;7.306863738E2;-3.751144144E2
2.083333333E-1;7.258399656E2;-3.758125092E2
2.166666667E-1;7.198767547E2;-3.757347283E2
2.250000000E-1;7.138830722E2;-3.758157499E2
2.333333333E-1;7.072625296E2;-3.757434302E2
2.416666667E-1;6.996570849E2;-3.759584654E2
2.500000000E-1;6.927216044E2;-3.762931654E2
2.583333333E-1;6.855760987E2;-3.763235900E2
2.666666667E-1;6.785572435E2;-3.768747363E2
2.750000000E-1;6.715218698E2;-3.773908131E2
2.833333333E-1;6.645976741E2;-3.774059017E2
2.916666667E-1;6.581085889E2;-3.773990635E2
3.000000000E-1;6.507385958E2;-3.772293417E2
3.083333333E-1;6.435603703E2;-3.774428930E2
3.166666667E-1;6.368826296E2;-3.774434002E2
3.250000000E-1;6.288189887E2;-3.774554186E2
3.333333333E-1;6.205913564E2;-3.782914568E2
3.416666667E-1;6.118632524E2;-3.783856864E2
3.500000000E-1;6.018157111E2;-3.781569514E2
3.583333333E-1;5.907772059E2;-3.781714573E2
3.666666667E-1;5.800510949E2;-3.828490180E2
3.750000000E-1;5.697011314E2;-3.803951408E2
3.833333333E-1;5.582617231E2;-3.805150949E2
3.916666667E-1;5.470416051E2;-3.807373550E2
4.000000000E-1;5.364429690E2;-3.802337873E2
4.083333333E-1;5.250150321E2;-3.803328738E2
4.166666667E-1;5.144663553E2;-3.801337693E2
4.250000000E-1;5.039227758E2;-3.802563159E2
4.333333333E-1;4.911853942E2;-3.811806733E2
4.416666667E-1;4.805728998E2;-3.821281040E2
4.500000000E-1;4.698102188E2;-3.817169058E2
4.583333333E-1;4.596213474E2;-3.817340419E2
4.666666667E-1;4.479564936E2;-3.837633816E2
4.750000000E-1;4.376649831E2;-3.819899196E2
4.833333333E-1;4.265465877E2;-3.820060228E2
4.916666667E-1;4.157030688E2;-3.808270715E2
5.000000000E-1;4.040102901E2;-3.804195200E2
5.083333333E-1;3.899274912E2;-3.804084576E2
5.166666667E-1;3.771641507E2;-3.804795309E2
5.250000000E-1;3.643870459E2;-3.805349614E2
5.333333333E-1;3.509962538E2;-3.801493837E2
5.416666667E-1;3.384550279E2;-3.795374732E2
5.500000000E-1;3.246575999E2;-3.789306994E2
5.583333333E-1;3.117250604E2;-3.794329614E2
5.666666667E-1;2.990410560E2;-3.783874849E2
5.750000000E-1;2.870604956E2;-3.786273077E2
5.833333333E-1;2.754204697E2;-3.776031672E2
5.916666667E-1;2.633375790E2;-3.781303489E2
