t,x,y
1.833333333E-1,1.105492273E3,1.049457452E2
1.916666667E-1,1.101709234E3,1.049457121E2
2.000000000E-1,1.097409774E3,1.047599252E2
2.083333333E-1,1.092604478E3,1.038196366E2
2.166666667E-1,1.086644871E3,1.035982340E2
2.250000000E-1,1.080662796E3,1.032167004E2
2.333333333E-1,1.074046958E3,1.029568748E2
2.416666667E-1,1.066461870E3,1.023606582E2
2.500000000E-1,1.059551906E3,1.016785294E2
2.583333333E-1,1.052416919E3,1.012897593E2
2.666666667E-1,1.045434540E3,1.003872750E2
2.750000000E-1,1.038433905E3,9.951898753E1
2.833333333E-1,1.031519180E3,9.915663396E1
2.916666667E-1,1.025037919E3,9.883800257E1
3.000000000E-1,1.017668689E3,9.863786779E1
3.083333333E-1,1.010510209E3,9.806456030E1
3.166666667E-1,1.003840898E3,9.772913082E1
3.250000000E-1,9.957880082E2,9.731269452E1
3.333333333E-1,9.876126624E2,9.606505041E1
3.416666667E-1,9.789002694E2,9.553318023E1
3.500000000E-1,9.688539013E2,9.525769154E1
3.583333333E-1,9.578300163E2,9.468956613E1
3.666666667E-1,9.473520085E2,8.947992285E1
3.750000000E-1,9.368919964E2,9.141160782E1
3.833333333E-1,9.254730017E2,9.071805961E1
3.916666667E-1,9.142781523E2,8.993333265E1
4.000000000E-1,9.036675988E2,8.990469053E1
4.083333333E-1,8.922590144E2,8.923255902E1
4.166666667E-1,8.817136276E2,8.890234255E1
4.250000000E-1,8.711894641E2,8.825113549E1
4.333333333E-1,8.585144746E2,8.668909633E1
4.416666667E-1,8.479628552E2,8.521058694E1
4.500000000E-1,8.371930960E2,8.508146385E1
4.583333333E-1,8.270179073E2,8.455332507E1
4.666666667E-1,8.154695164E2,8.194148709E1
4.750000000E-1,8.051020101E2,8.319654491E1
4.833333333E-1,7.939984155E2,8.262281733E1
4.916666667E-1,7.831094134E2,8.325642665E1
5.000000000E-1,7.714109100E2,8.307701233E1
5.083333333E-1,7.573452803E2,8.238173611E1
5.166666667E-1,7.446015679E2,8.167060518E1
5.250000000E-1,7.318433240E2,8.097440692E1
5.333333333E-1,7.184500463E2,8.068788238E1
5.416666667E-1,7.058939138E2,8.067001579E1
5.500000000E-1,6.920834180E2,8.058401401E1
5.583333333E-1,6.791923458E2,7.943375085E1
5.666666667E-1,6.664718690E2,7.984174355E1
5.750000000E-1,6.545184152E2,7.900133593E1
5.833333333E-1,6.428416731E2,7.944038039E1
5.916666667E-1,6.308004303E2,7.830784312E1
6.000000000E-1,6.197707603E2,7.588049690E1
6.083333333E-1,6.080016577E2,7.921799384E1
6.166666667E-1,5.945725003E2,8.024998316E1
6.250000000E-1,5.819956353E2,7.984206128E1
6.333333333E-1,5.681751376E2,8.026752323E1
6.416666667E-1,5.550373515E2,8.066891291E1
6.500000000E-1,5.413151455E2,8.136321634E1
6.583333333E-1,5.273701659E2,8.122119924E1
6.666666667E-1,5.137551122E2,8.186105777E1
6.750000000E-1,5.006206877E2,8.213474052E1
6.833333333E-1,4.882448934E2,8.285640657E1
6.916666667E-1,4.753643235E2,8.393610254E1
7.000000000E-1,4.638484087E2,8.567839212E1
