mass_A
t,x,y
6.666666667E-2,3.930745607E-3,5.623989868E-2
1.333333333E-1,3.907554663E-3,2.607503337E-2
2.000000000E-1,3.847556171E-3,-2.078115686E-2
2.666666667E-1,3.824294630E-3,-4.322655085E-2
3.333333333E-1,3.822118524E-3,-4.057777802E-2
4.000000000E-1,3.826784485E-3,-1.250592726E-2
4.666666667E-1,3.407174003E-3,3.726689587E-2
5.333333333E-1,2.591063469E-3,1.043046429E-1
6.000000000E-1,2.048876621E-3,1.812444729E-1
6.666666667E-1,1.873424287E-3,2.596123209E-1
7.333333333E-1,1.800278669E-3,3.311298952E-1
8.000000000E-1,1.650495067E-3,3.890273332E-1
8.666666667E-1,1.533372433E-3,4.271290472E-1
9.333333333E-1,1.527656686E-3,4.400101081E-1
1.000000000E0,1.764878173E-3,4.274448483E-1
1.066666667E0,1.910052785E-3,3.906006253E-1
1.133333333E0,2.249853580E-3,3.335301961E-1
1.200000000E0,2.433225640E-3,2.616878733E-1
1.266666667E0,2.520159569E-3,1.828719123E-1
1.333333333E0,2.677521899E-3,1.057461290E-1
1.400000000E0,3.182356390E-3,3.835234958E-2
1.466666667E0,3.961324958E-3,-1.247764184E-2
1.533333333E0,4.053116165E-3,-4.224432169E-2
1.600000000E0,4.016035114E-3,-4.599071872E-2
1.666666667E0,3.720418874E-3,-2.380468016E-2
1.733333333E0,3.780955100E-3,2.109655968E-2
1.800000000E0,3.757106093E-3,8.413638247E-2
1.866666667E0,3.473668066E-3,1.593788542E-1
1.933333333E0,2.826397610E-3,2.377130216E-1
2.000000000E0,1.925123037E-3,3.112311442E-1
2.066666667E0,1.598447285E-3,3.721516832E-1
2.133333333E0,1.459960331E-3,4.155848934E-1
2.200000000E0,1.554620791E-3,4.363647663E-1
2.266666667E0,1.601644513E-3,4.302551892E-1
2.333333333E0,1.701212602E-3,3.996926141E-1
2.400000000E0,1.764213118E-3,3.477815363E-1
2.466666667E0,1.821767091E-3,2.801026376E-1
2.533333333E0,2.042199605E-3,2.029102832E-1
2.600000000E0,2.553245204E-3,1.244017335E-1
2.666666667E0,3.306190974E-3,5.382857200E-2
2.733333333E0,3.786191279E-3,-1.613446354E-3
2.800000000E0,4.046986550E-3,-3.684502672E-2
2.866666667E0,4.166158463E-3,-4.674043681E-2
2.933333333E0,4.340746347E-3,-3.213850971E-2
3.000000000E0,4.445560893E-3,7.560462793E-3
3.066666667E0,4.134327055E-3,6.641345013E-2
3.133333333E0,3.833482742E-3,1.381345249E-1
3.200000000E0,3.738246025E-3,2.162332838E-1
3.266666667E0,3.541338008E-3,2.913629955E-1
3.333333333E0,3.466269780E-3,3.555459906E-1
3.400000000E0,3.265221053E-3,4.030482389E-1
3.466666667E0,2.850759323E-3,4.297350769E-1
3.533333333E0,1.970884479E-3,4.308942318E-1
3.600000000E0,1.868388302E-3,4.070711712E-1
3.666666667E0,1.869622351E-3,3.603005718E-1
3.733333333E0,1.850400173E-3,2.971874561E-1
3.800000000E0,1.870094860E-3,2.223535037E-1
3.866666667E0,1.868138301E-3,1.441063343E-1
3.933333333E0,2.042569267E-3,7.090422648E-2
4.000000000E0,2.192445767E-3,1.105946170E-2
4.066666667E0,2.461151359E-3,-2.942792216E-2
4.133333333E0,2.664863613E-3,-4.656724434E-2
4.200000000E0,2.582624440E-3,-3.904900527E-2
4.266666667E0,2.426712515E-3,-5.844963763E-3
4.333333333E0,2.178866473E-3,4.799162119E-2
4.400000000E0,2.275477779E-3,1.170624305E-1
4.466666667E0,2.218135242E-3,1.939606907E-1
4.533333333E0,2.174368866E-3,2.712973318E-1
4.600000000E0,2.031019696E-3,3.393788002E-1
4.666666667E0,1.736473527E-3,3.913773647E-1
4.733333333E0,1.684191968E-3,4.232617602E-1
4.800000000E0,1.688302231E-3,4.310444803E-1
4.866666667E0,1.750764715E-3,4.136541129E-1
