mass_A
t,x,y
1.833333333E-1,1.107615605E3,3.553721126E2
1.916666667E-1,1.103837325E3,3.555618184E2
2.000000000E-1,1.099533957E3,3.555919054E2
2.083333333E-1,1.094687549E3,3.548938105E2
2.166666667E-1,1.088724338E3,3.549715914E2
2.250000000E-1,1.082730656E3,3.548905698E2
2.333333333E-1,1.076110113E3,3.549628895E2
2.416666667E-1,1.068504669E3,3.547478543E2
2.500000000E-1,1.061569188E3,3.544131543E2
2.583333333E-1,1.054423682E3,3.543827297E2
2.666666667E-1,1.047404827E3,3.538315834E2
2.750000000E-1,1.040369453E3,3.533155066E2
2.833333333E-1,1.033445258E3,3.533004180E2
2.916666667E-1,1.026956173E3,3.533072562E2
3.000000000E-1,1.019586179E3,3.534769780E2
3.083333333E-1,1.012407954E3,3.532634267E2
3.166666667E-1,1.005730213E3,3.532629195E2
3.250000000E-1,9.976665724E2,3.532509011E2
3.333333333E-1,9.894389400E2,3.524148629E2
3.416666667E-1,9.807108360E2,3.523206333E2
3.500000000E-1,9.706632947E2,3.525493684E2
3.583333333E-1,9.596247895E2,3.525348624E2
3.666666667E-1,9.488986786E2,3.478573017E2
3.750000000E-1,9.385487150E2,3.503111789E2
3.833333333E-1,9.271093068E2,3.501912248E2
3.916666667E-1,9.158891887E2,3.499689647E2
4.000000000E-1,9.052905527E2,3.504725324E2
4.083333333E-1,8.938626158E2,3.503734459E2
4.166666667E-1,8.833139389E2,3.505725504E2
4.250000000E-1,8.727703594E2,3.504500038E2
4.333333333E-1,8.600329778E2,3.495256464E2
4.416666667E-1,8.494204834E2,3.485782157E2
4.500000000E-1,8.386578024E2,3.489894139E2
4.583333333E-1,8.284689310E2,3.489722778E2
4.666666667E-1,8.168040773E2,3.469429381E2
4.750000000E-1,8.065125668E2,3.487164001E2
4.833333333E-1,7.953941714E2,3.487002969E2
4.916666667E-1,7.845506525E2,3.498792482E2
5.000000000E-1,7.728578738E2,3.502867997E2
5.083333333E-1,7.587750749E2,3.502978621E2
5.166666667E-1,7.460117343E2,3.502267888E2
5.250000000E-1,7.332346296E2,3.501713583E2
5.333333333E-1,7.198438374E2,3.505569360E2
5.416666667E-1,7.073026115E2,3.511688465E2
5.500000000E-1,6.935051836E2,3.517756203E2
5.583333333E-1,6.805726440E2,3.512733583E2
5.666666667E-1,6.678886396E2,3.523188348E2
5.750000000E-1,6.559080792E2,3.520790120E2
5.833333333E-1,6.442680533E2,3.531031525E2
5.916666667E-1,6.321851626E2,3.525759708E2
6.000000000E-1,6.210476302E2,3.507048741E2
6.083333333E-1,6.094607324E2,3.546284516E2
6.166666667E-1,5.961002359E2,3.563326833E2
