t,x,y
6.666666667E-2,3.124992743E-2,-6.465502226E-3
1.333333333E-1,3.183380778E-2,-2.088564482E-2
2.000000000E-1,3.331021308E-2,-5.524539094E-2
2.666666667E-1,3.429985564E-2,-8.750674417E-2
3.333333333E-1,3.439676095E-2,-1.141094196E-1
4.000000000E-1,3.358291803E-2,-1.299251941E-1
4.666666667E-1,3.284717956E-2,-1.317011738E-1
5.333333333E-1,3.104698188E-2,-1.187690396E-1
6.000000000E-1,2.897840670E-2,-9.426487649E-2
6.666666667E-1,2.671602863E-2,-6.279979779E-2
7.333333333E-1,2.489059276E-2,-2.912254943E-2
8.000000000E-1,2.301111440E-2,-7.468106117E-5
8.666666667E-1,2.162114991E-2,1.854721417E-2
9.333333333E-1,2.081640462E-2,2.432139723E-2
1.000000000E0,2.027864388E-2,1.530423493E-2
1.066666667E0,2.058752462E-2,-6.029356568E-3
1.133333333E0,2.223268460E-2,-3.689505947E-2
1.200000000E0,2.441555976E-2,-7.104392668E-2
1.266666667E0,2.700964991E-2,-1.015431228E-1
1.333333333E0,2.910457009E-2,-1.230254173E-1
1.400000000E0,3.116289667E-2,-1.331406649E-1
1.466666667E0,3.248655986E-2,-1.292848442E-1
1.533333333E0,3.455424449E-2,-1.109305224E-1
1.600000000E0,3.600721377E-2,-8.138634110E-2
1.666666667E0,3.588454257E-2,-4.827601615E-2
1.733333333E0,3.548567385E-2,-1.658366571E-2
1.800000000E0,3.382932682E-2,8.858884880E-3
1.866666667E0,3.154796423E-2,2.235866143E-2
1.933333333E0,2.908531887E-2,2.140478472E-2
2.000000000E0,2.703853431E-2,6.409833975E-3
2.066666667E0,2.553371124E-2,-1.892731239E-2
2.133333333E0,2.377154807E-2,-5.227255595E-2
2.200000000E0,2.314521710E-2,-8.489004998E-2
2.266666667E0,2.217613605E-2,-1.126412097E-1
2.333333333E0,2.243966694E-2,-1.291988240E-1
2.400000000E0,2.304737993E-2,-1.325222886E-1
2.466666667E0,2.470313898E-2,-1.218084639E-1
2.533333333E0,2.694796823E-2,-9.899259587E-2
2.600000000E0,2.888460091E-2,-6.763382944E-2
2.666666667E0,3.112644400E-2,-3.422169331E-2
2.733333333E0,3.244101095E-2,-5.148750152E-3
2.800000000E0,3.474776636E-2,1.564448832E-2
2.866666667E0,3.584066357E-2,2.361461226E-2
2.933333333E0,3.635563943E-2,1.720792504E-2
3.000000000E0,3.587542927E-2,-2.862356018E-3
3.066666667E0,3.527449742E-2,-3.227064391E-2
3.133333333E0,3.339693003E-2,-6.502265181E-2
3.200000000E0,3.139011424E-2,-9.688936048E-2
3.266666667E0,2.907506001E-2,-1.205681797E-1
3.333333333E0,2.718527474E-2,-1.314407506E-1
3.400000000E0,2.509729274E-2,-1.290022747E-1
3.466666667E0,2.319896029E-2,-1.128256419E-1
3.533333333E0,2.147310336E-2,-8.538476608E-2
3.600000000E0,2.033489536E-2,-5.215148359E-2
3.666666667E0,2.064271595E-2,-1.976617857E-2
3.733333333E0,2.207303958E-2,6.260366968E-3
3.800000000E0,2.370545752E-2,2.194335087E-2
3.866666667E0,2.509895557E-2,2.348449491E-2
3.933333333E0,2.682097114E-2,1.060874470E-2
4.000000000E0,2.906659864E-2,-1.379712426E-2
4.066666667E0,3.093275492E-2,-4.536098898E-2
4.133333333E0,3.291270618E-2,-7.819521658E-2
4.200000000E0,3.394862388E-2,-1.064467346E-1
4.266666667E0,3.391475184E-2,-1.247792912E-1
4.333333333E0,3.322311589E-2,-1.298355820E-1
4.400000000E0,3.152871553E-2,-1.207466493E-1
4.466666667E0,2.976712441E-2,-9.981980524E-2
4.533333333E0,2.709250448E-2,-6.928553072E-2
4.600000000E0,2.497758287E-2,-3.525656503E-2
4.666666667E0,2.293964738E-2,-4.563558714E-3
4.733333333E0,2.099478990E-2,1.726208128E-2
4.800000000E0,1.945411516E-2,2.624182521E-2
