mass_A
t,x,y
2.666666667E-1,1.821408878E0,-4.713979643E1
3.333333333E-1,1.819230497E0,-4.684235314E1
4.000000000E-1,1.816096563E0,-4.404923377E1
4.666666667E-1,1.782004771E0,-3.902320479E1
5.333333333E-1,1.742184324E0,-3.223189078E1
6.000000000E-1,1.760088290E0,-2.444076779E1
6.666666667E-1,1.784768093E0,-1.652069476E1
7.333333333E-1,1.801114340E0,-9.315015875E0
8.000000000E-1,1.796641924E0,-3.454504821E0
8.666666667E-1,1.798431628E0,4.389203209E-1
9.333333333E-1,1.807873807E0,1.791711917E0
1.000000000E0,1.822581500E0,5.027972921E-1
1.066666667E0,1.838984174E0,-3.203707837E0
1.133333333E0,1.872700623E0,-8.932675785E0
1.200000000E0,1.867150390E0,-1.617170192E1
1.266666667E0,1.871032390E0,-2.413763003E1
1.333333333E0,1.876293676E0,-3.196084344E1
1.400000000E0,1.893660378E0,-3.880958780E1
1.466666667E0,1.926360454E0,-4.398214432E1
1.533333333E0,1.879200251E0,-4.700361550E1
1.600000000E0,1.846567145E0,-4.734618432E1
1.666666667E0,1.815738196E0,-4.513895118E1
1.733333333E0,1.814649244E0,-4.063475238E1
1.800000000E0,1.812839411E0,-3.426329636E1
1.866666667E0,1.793763105E0,-2.665580305E1
1.933333333E0,1.758141184E0,-1.865498940E1
2.000000000E0,1.738245854E0,-1.125941022E1
2.066666667E0,1.753840257E0,-5.108287426E0
2.133333333E0,1.768309632E0,-8.066393209E-1
2.200000000E0,1.793993218E0,1.272752487E0
2.266666667E0,1.810445473E0,7.133834053E-1
2.333333333E0,1.816281771E0,-2.379467560E0
2.400000000E0,1.824220700E0,-7.585684770E0
2.466666667E0,1.828542529E0,-1.442682989E1
2.533333333E0,1.852367465E0,-2.222563939E1
2.600000000E0,1.885786799E0,-3.014203948E1
2.666666667E0,1.916930954E0,-3.719967720E1
2.733333333E0,1.912994339E0,-4.276103394E1
2.800000000E0,1.895592025E0,-4.631434165E1
2.866666667E0,1.871414843E0,-4.732307540E1
2.933333333E0,1.871189460E0,-4.582983488E1
3.000000000E0,1.866026067E0,-4.183602761E1
3.066666667E0,1.836024981E0,-3.592410346E1
3.133333333E0,1.801842812E0,-2.870629726E1
3.200000000E0,1.796733337E0,-2.083825545E1
3.266666667E0,1.785507895E0,-1.319487865E1
3.333333333E0,1.786508654E0,-6.725851709E0
3.400000000E0,1.783944104E0,-1.926412009E0
3.466666667E0,1.773547222E0,7.054898860E-1
3.533333333E0,1.763618586E0,8.219276188E-1
3.600000000E0,1.794185875E0,-1.538130542E0
3.666666667E0,1.807287065E0,-6.260690049E0
3.733333333E0,1.812625523E0,-1.268593187E1
3.800000000E0,1.821478473E0,-2.023854516E1
3.866666667E0,1.820078618E0,-2.816197462E1
3.933333333E0,1.837119829E0,-3.557218607E1
4.000000000E0,1.847615523E0,-4.159343473E1
4.066666667E0,1.855091152E0,-4.568253757E1
4.133333333E0,1.861726408E0,-4.739724861E1
4.200000000E0,1.848902915E0,-4.656231959E1
4.266666667E0,1.842763481E0,-4.319635017E1
4.333333333E0,1.833251625E0,-3.773575068E1
4.400000000E0,1.840105952E0,-3.073988512E1
4.466666667E0,1.833472366E0,-2.296227234E1
4.533333333E0,1.827522098E0,-1.510173966E1
4.600000000E0,1.814878267E0,-8.142087866E0
4.666666667E0,1.805749684E0,-2.791510471E0
4.733333333E0,1.810914755E0,3.688408386E-1
4.800000000E0,1.814171014E0,1.144129256E0
4.866666667E0,1.819679234E0,-6.104628594E-1
