t,x,y
0.00E+00,1.90E-01,-5.23E-02
6.67E-02,1.90E-01,-5.23E-02
1.33E-01,1.90E-01,-4.96E-02
2.00E-01,1.91E-01,-3.48E-02
2.67E-01,1.92E-01,-1.13E-02
3.33E-01,1.92E-01,1.65E-02
4.00E-01,1.93E-01,4.08E-02
4.67E-01,1.93E-01,5.55E-02
5.33E-01,1.93E-01,5.77E-02
6.00E-01,1.92E-01,4.69E-02
6.67E-01,1.92E-01,2.52E-02
7.33E-01,1.92E-01,-2.53E-03
8.00E-01,1.91E-01,-2.87E-02
8.67E-01,1.90E-01,-4.59E-02
9.33E-01,1.90E-01,-5.25E-02
1.00E+00,1.90E-01,-4.60E-02
1.07E+00,1.90E-01,-2.70E-02
1.13E+00,1.90E-01,-9.52E-04
1.20E+00,1.90E-01,2.54E-02
1.27E+00,1.90E-01,4.68E-02
1.33E+00,1.90E-01,5.77E-02
1.40E+00,1.91E-01,5.55E-02
1.47E+00,1.92E-01,3.90E-02
1.53E+00,1.92E-01,1.50E-02
1.60E+00,1.93E-01,-1.17E-02
1.67E+00,1.93E-01,-3.55E-02
1.73E+00,1.93E-01,-4.96E-02
1.80E+00,1.92E-01,-5.11E-02
1.87E+00,1.92E-01,-3.94E-02
1.93E+00,1.92E-01,-1.78E-02
2.00E+00,1.91E-01,9.94E-03
2.07E+00,1.90E-01,3.47E-02
2.13E+00,1.90E-01,5.13E-02
2.20E+00,1.89E-01,5.77E-02
2.27E+00,1.88E-01,5.05E-02
2.33E+00,1.88E-01,3.18E-02
2.40E+00,1.89E-01,5.92E-03
2.47E+00,1.90E-01,-2.18E-02
2.53E+00,1.90E-01,-4.15E-02
2.60E+00,1.90E-01,-5.10E-02
2.67E+00,1.91E-01,-4.75E-02
2.73E+00,1.92E-01,-3.22E-02
2.80E+00,1.92E-01,-7.20E-03
2.87E+00,1.92E-01,1.98E-02
2.93E+00,1.92E-01,4.26E-02
3.00E+00,1.92E-01,5.58E-02
3.07E+00,1.92E-01,5.58E-02
3.13E+00,1.91E-01,4.39E-02
3.20E+00,1.90E-01,2.13E-02
3.27E+00,1.90E-01,-5.36E-03
3.33E+00,1.90E-01,-3.07E-02
3.40E+00,1.90E-01,-4.79E-02
3.47E+00,1.90E-01,-5.26E-02
3.53E+00,1.90E-01,-4.40E-02
3.60E+00,1.90E-01,-2.44E-02
3.67E+00,1.90E-01,1.83E-03
3.73E+00,1.91E-01,2.88E-02
3.80E+00,1.92E-01,4.85E-02
3.87E+00,1.92E-01,5.76E-02
3.93E+00,1.93E-01,5.36E-02
4.00E+00,1.93E-01,3.77E-02
4.07E+00,1.93E-01,1.29E-02
4.13E+00,1.93E-01,-1.48E-02
4.20E+00,1.92E-01,-3.73E-02
4.27E+00,1.92E-01,-5.02E-02
4.33E+00,1.91E-01,-5.07E-02
4.40E+00,1.91E-01,-3.71E-02
4.47E+00,1.90E-01,-1.47E-02
4.53E+00,1.89E-01,1.17E-02
4.60E+00,1.89E-01,3.66E-02
4.67E+00,1.88E-01,5.29E-02
4.73E+00,1.88E-01,5.78E-02
4.80E+00,1.89E-01,4.72E-02
4.87E+00,1.90E-01,2.76E-02
