t,x,y
6.67E-02,0.00E+00,2.20E-01
1.33E-01,1.29E-03,1.90E-01
2.00E-01,2.48E-03,1.42E-01
2.67E-01,3.78E-03,7.95E-02
3.33E-01,4.30E-03,1.22E-02
4.00E-01,4.29E-03,-5.42E-02
4.67E-01,3.94E-03,-1.12E-01
5.33E-01,3.48E-03,-1.54E-01
6.00E-01,2.72E-03,-1.73E-01
6.67E-01,1.87E-03,-1.72E-01
7.33E-01,1.33E-04,-1.47E-01
8.00E-01,-1.48E-03,-1.02E-01
8.67E-01,-2.76E-03,-4.30E-02
9.33E-01,-3.94E-03,2.44E-02
1.00E+00,-4.42E-03,9.06E-02
1.07E+00,-5.13E-03,1.50E-01
1.13E+00,-5.20E-03,1.96E-01
1.20E+00,-4.93E-03,2.22E-01
1.27E+00,-4.58E-03,2.25E-01
1.33E+00,-3.84E-03,2.06E-01
1.40E+00,-2.29E-03,1.66E-01
1.47E+00,-8.10E-04,1.09E-01
1.53E+00,2.07E-04,4.43E-02
1.60E+00,1.68E-03,-2.39E-02
1.67E+00,2.73E-03,-8.53E-02
1.73E+00,4.00E-03,-1.36E-01
1.80E+00,4.78E-03,-1.66E-01
1.87E+00,5.13E-03,-1.75E-01
1.93E+00,4.74E-03,-1.61E-01
2.00E+00,4.25E-03,-1.26E-01
2.07E+00,3.60E-03,-7.33E-02
2.13E+00,2.45E-03,-8.34E-03
2.20E+00,1.63E-03,5.86E-02
2.27E+00,1.40E-04,1.23E-01
2.33E+00,-1.31E-03,1.75E-01
2.40E+00,-2.75E-03,2.10E-01
2.47E+00,-3.81E-03,2.25E-01
2.53E+00,-4.27E-03,2.16E-01
2.60E+00,-4.45E-03,1.85E-01
2.67E+00,-4.33E-03,1.36E-01
2.73E+00,-4.33E-03,7.46E-02
2.80E+00,-4.01E-03,7.43E-03
2.87E+00,-2.61E-03,-5.87E-02
2.93E+00,-1.20E-03,-1.14E-01
3.00E+00,-1.38E-04,-1.54E-01
3.07E+00,9.65E-04,-1.73E-01
3.13E+00,1.98E-03,-1.71E-01
3.20E+00,3.17E-03,-1.44E-01
3.27E+00,4.05E-03,-9.94E-02
3.33E+00,4.48E-03,-4.02E-02
3.40E+00,4.52E-03,2.65E-02
3.47E+00,4.26E-03,9.27E-02
3.53E+00,3.67E-03,1.51E-01
3.60E+00,2.85E-03,1.95E-01
3.67E+00,2.06E-03,2.20E-01
3.73E+00,1.01E-03,2.23E-01
3.80E+00,-1.25E-04,2.02E-01
3.87E+00,-1.42E-03,1.61E-01
3.93E+00,-2.11E-03,1.04E-01
4.00E+00,-2.84E-03,3.87E-02
4.07E+00,-2.93E-03,-2.90E-02
4.13E+00,-2.97E-03,-9.07E-02
4.20E+00,-2.83E-03,-1.38E-01
4.27E+00,-2.68E-03,-1.68E-01
4.33E+00,-2.24E-03,-1.75E-01
4.40E+00,-1.59E-03,-1.60E-01
4.47E+00,-3.72E-04,-1.24E-01
4.53E+00,1.43E-04,-6.97E-02
4.60E+00,7.59E-04,-5.70E-03
4.67E+00,1.71E-03,6.03E-02
4.73E+00,2.61E-03,1.23E-01
4.80E+00,3.18E-03,1.75E-01
4.87E+00,3.62E-03,2.08E-01
