t,x,y
0.00E+00,-4.21E-03,1.85E-01
6.67E-02,-4.21E-03,1.85E-01
1.33E-01,-5.06E-03,1.83E-01
2.00E-01,-6.14E-03,1.69E-01
2.67E-01,-6.48E-03,1.39E-01
3.33E-01,-6.04E-03,1.03E-01
4.00E-01,-4.04E-03,6.49E-02
4.67E-01,-1.71E-03,3.59E-02
5.33E-01,4.84E-04,2.20E-02
6.00E-01,4.06E-03,2.31E-02
6.67E-01,6.69E-03,4.37E-02
7.33E-01,8.92E-03,7.67E-02
8.00E-01,1.08E-02,1.14E-01
8.67E-01,1.13E-02,1.50E-01
9.33E-01,1.11E-02,1.76E-01
1.00E+00,1.06E-02,1.85E-01
1.07E+00,8.82E-03,1.78E-01
1.13E+00,6.42E-03,1.54E-01
1.20E+00,3.82E-03,1.19E-01
1.27E+00,5.08E-04,8.16E-02
1.33E+00,-1.69E-03,4.75E-02
1.40E+00,-3.74E-03,2.70E-02
1.47E+00,-4.29E-03,2.12E-02
1.53E+00,-4.77E-03,3.31E-02
1.60E+00,-4.21E-03,6.05E-02
1.67E+00,-3.35E-03,9.78E-02
1.73E+00,-1.90E-03,1.35E-01
1.80E+00,6.77E-04,1.66E-01
1.87E+00,3.84E-03,1.82E-01
1.93E+00,6.43E-03,1.82E-01
2.00E+00,8.87E-03,1.66E-01
2.07E+00,1.06E-02,1.34E-01
2.13E+00,1.08E-02,9.66E-02
2.20E+00,1.03E-02,5.96E-02
2.27E+00,9.07E-03,3.36E-02
2.33E+00,6.91E-03,2.10E-02
2.40E+00,4.60E-03,2.54E-02
2.47E+00,1.90E-03,4.62E-02
2.53E+00,-1.51E-03,8.06E-02
2.60E+00,-4.30E-03,1.18E-01
2.67E+00,-6.43E-03,1.52E-01
2.73E+00,-7.80E-03,1.76E-01
2.80E+00,-8.11E-03,1.84E-01
2.87E+00,-6.67E-03,1.74E-01
2.93E+00,-4.74E-03,1.49E-01
3.00E+00,-2.17E-03,1.13E-01
3.07E+00,4.75E-04,7.58E-02
3.13E+00,3.89E-03,4.26E-02
3.20E+00,6.22E-03,2.42E-02
3.27E+00,8.70E-03,2.18E-02
3.33E+00,1.03E-02,3.54E-02
3.40E+00,1.08E-02,6.50E-02
3.47E+00,1.05E-02,1.02E-01
3.53E+00,9.17E-03,1.40E-01
3.60E+00,6.84E-03,1.68E-01
3.67E+00,4.38E-03,1.83E-01
3.73E+00,1.88E-03,1.80E-01
3.80E+00,-5.97E-04,1.61E-01
3.87E+00,-2.44E-03,1.29E-01
3.93E+00,-4.12E-03,9.23E-02
4.00E+00,-4.63E-03,5.56E-02
4.07E+00,-4.19E-03,3.07E-02
4.13E+00,-2.48E-03,2.04E-02
4.20E+00,-2.25E-04,2.69E-02
4.27E+00,2.01E-03,4.98E-02
4.33E+00,4.52E-03,8.41E-02
4.40E+00,6.82E-03,1.23E-01
4.47E+00,9.09E-03,1.56E-01
4.53E+00,1.12E-02,1.77E-01
4.60E+00,1.22E-02,1.82E-01
4.67E+00,1.30E-02,1.71E-01
4.73E+00,1.24E-02,1.43E-01
4.80E+00,1.09E-02,1.08E-01
