t,x,y
0.000000000E0,0.000000000E0,1.075634058E-3
6.666666667E-2,4.980090270E-6,1.099762898E-3
1.333333333E-1,-1.758651326E-4,1.158297048E-2
2.000000000E-1,-4.666160118E-5,3.731501858E-2
2.666666667E-1,-3.280277563E-4,6.072952596E-2
3.333333333E-1,7.380181119E-5,7.237589301E-2
4.000000000E-1,-7.865975937E-4,6.946871016E-2
4.666666667E-1,-1.354906927E-3,5.290213593E-2
5.333333333E-1,-2.124193476E-3,2.683591521E-2
6.000000000E-1,-2.255351660E-3,2.635960803E-3
6.666666667E-1,-8.378507494E-4,-1.197888190E-2
7.333333333E-1,-4.253753055E-4,-1.000052629E-2
8.000000000E-1,-4.721141928E-4,7.273857366E-3
8.666666667E-1,-2.383390925E-4,3.318969766E-2
9.333333333E-1,3.188407388E-4,5.773325706E-2
1.000000000E0,-5.452040934E-4,7.156396903E-2
1.066666667E0,-6.041840323E-4,7.123333124E-2
1.133333333E0,7.909317375E-4,5.570924319E-2
1.200000000E0,4.339676429E-4,3.133206688E-2
1.266666667E0,1.705354299E-3,5.446375149E-3
1.333333333E0,1.725961561E-3,-1.000851966E-2
1.400000000E0,4.052062504E-4,-1.001717221E-2
1.466666667E0,-2.876957402E-4,5.186399977E-3
1.533333333E0,-2.779010886E-4,2.900738127E-2
1.600000000E0,-2.715190778E-4,5.285139047E-2
1.666666667E0,-3.137500859E-4,6.776503265E-2
1.733333333E0,5.464189979E-5,6.821796814E-2
1.800000000E0,-2.821803458E-5,5.431672492E-2
1.866666667E0,-1.198897678E-4,3.085695591E-2
1.933333333E0,4.265568327E-4,5.886246504E-3
2.000000000E0,6.842946597E-4,-9.866852969E-3
2.066666667E0,8.915522112E-5,-1.003310351E-2
2.133333333E0,4.270092650E-4,5.261800562E-3
2.200000000E0,1.553811844E-3,2.879567744E-2
2.266666667E0,1.349369411E-3,5.406716754E-2
2.333333333E0,1.819260311E-3,6.980650781E-2
2.400000000E0,1.022640405E-3,7.191914496E-2
2.466666667E0,-1.379702809E-4,5.866247392E-2
2.533333333E0,2.301257209E-4,3.394906005E-2
2.600000000E0,5.640805152E-5,7.657497321E-3
2.666666667E0,2.618297325E-4,-9.737987607E-3
2.733333333E0,-3.099723697E-4,-1.237595044E-2
2.800000000E0,-2.998353442E-4,7.846705231E-4
2.866666667E0,-1.108510697E-4,2.444422407E-2
2.933333333E0,-2.643499884E-4,5.012329333E-2
3.000000000E0,-4.814380924E-4,6.739146293E-2
3.066666667E0,-2.695537449E-4,7.156719446E-2
3.133333333E0,5.669111242E-4,5.991976321E-2
3.200000000E0,3.804275202E-4,3.771306678E-2
3.266666667E0,1.266042366E-3,1.151893939E-2
3.333333333E0,3.440824079E-3,-7.593965919E-3
3.400000000E0,2.349987744E-3,-1.185980652E-2
3.466666667E0,4.118887117E-4,8.455612714E-4
3.533333333E0,3.847728509E-4,2.253317952E-2
3.600000000E0,-3.531664156E-4,4.761231535E-2
3.666666667E0,-4.066337237E-4,6.523206354E-2
3.733333333E0,-6.289423537E-5,6.988579159E-2
3.800000000E0,2.397084899E-4,5.914455675E-2
3.866666667E0,1.573053553E-4,3.758182720E-2
3.933333333E0,-3.034415745E-5,1.190447294E-2
4.000000000E0,1.300544494E-3,-7.564836735E-3
4.066666667E0,7.232961339E-4,-1.194437160E-2
4.133333333E0,2.565472335E-4,-1.065779692E-3
4.200000000E0,1.987215743E-3,2.076422955E-2
4.266666667E0,2.740388188E-3,4.701611829E-2
4.333333333E0,2.147513223E-3,6.555626883E-2
4.400000000E0,2.113985108E-3,7.162688262E-2
4.466666667E0,1.822062651E-3,6.303907854E-2
4.533333333E0,1.626545535E-3,4.177213807E-2
4.600000000E0,1.395583141E-4,1.559405576E-2
4.666666667E0,1.494488146E-3,-5.585515139E-3
4.733333333E0,1.740633582E-3,-1.351996754E-2
4.800000000E0,1.273540661E-3,-5.474235361E-3
4.866666667E0,6.389490349E-4,1.610509972E-2
